path,transcript,azure
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_001.wav,which ones were on,Which ones were on?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_004.wav,one one,11
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_007.wav,talking about timers,Talking about timers.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_010.wav,so now,So now.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_011.wav,can i touch it,Can I touch it?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_017.wav,bigger numbers,Bigger numbers.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_018.wav,it does work,It does.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_019.wav,seventy nine right,79
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_022.wav,because you wanna do it,Because you want to do.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_024.wav,does your sixty four,Is your 60?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_025.wav,all the way,All the way.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_033.wav,minus one,Minus one.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_036.wav,i dont know,I don't know.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_038.wav,my mom and my dog,My mom and my dog.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_042.wav,shes nine,She's nice.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_055.wav,gonna group in fours,Going to group in four.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_058.wav,there you go,There you go.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_059.wav,so whats that,So what's that?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_062.wav,how did you do yours,How did you do yours?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_065.wav,so you did yours,So you did your.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_067.wav,each individual,Individual.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_069.wav,how about you guys explain,How about you guys explain?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_076.wav,what is he doing,What does he do?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_077.wav,sixteen minus six,16 minutes.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_081.wav,sixty minus six,60 - 6.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_083.wav,so complicated,So complicated.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_087.wav,he used that,He used that.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_090.wav,so now what i did,So now what I did?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_091.wav,i turned on the sixty four,I turn on the 64.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_093.wav,the thirty two,The 30
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_097.wav,it was three,There was three.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_101.wav,you got four right,We got 4.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_103.wav,okay ill go for you,"OK, I'll go for."
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_105.wav,go ahead and do it,Go ahead and do it.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_106.wav,where do i begin,Where do I begin?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_107.wav,your ages,Your agent.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_108.wav,my brother and my mom,My brother and my mom.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_111.wav,the binary,The binary.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_113.wav,yeah the binary,"Yeah, but binary."
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_114.wav,and then,And then.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_001.wav,how long it took you to make that,How long it took you to make that?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_002.wav,give me two initials from your name,Give Me 2 initials from your name.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_003.wav,dont forget mine,Don't forget mine.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_004.wav,give me marker please,Marker please.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_009.wav,hectors gonna get the e c,Hector's going to get the icy.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_010.wav,okay so what are we doing,"OK, So what are we doing?"
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_011.wav,oh okay i get it,"OK, I get it."
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_012.wav,you gonna have a d,You're gonna have a D.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_016.wav,what you gonna do is you gonna convert this into binary number,What you're gonna do is you're going to convert this into a binary number.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_019.wav,i need help,I need help.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_Eng_fundamental_May09_2022/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_027.wav,i know what im gonna do,I know what I'm doing.
