c1	PER 	WER	Target IPAs	Predicted IPAs
1	0.6364	1.5000	aɪ s_o_l_a_m_ɛ_n_t_e		a_e_s_ɔ_l_e ɛ_n d_e
2	0.7273	1.0000	d_o_s b_a_l_ɔ_ɾ_ɛ_s		u_n_b_a u_s
3	1.0000	2.0000	s_ɛ_ɾ_ɔ		s_e d_ɛ
4	1.0000	1.0000	m_e_x_ɔ_ɾ		a_β_a
5	0.7500	1.0000	e_s_t_a		e_s_e_n_ɔ
6	0.8000	1.0000	a b_ɛ_ɾ		ɔ_ɾ
7	0.8462	1.0000	ʝ_a p_ɛ_ɾ_ɔ a b_ɛ_ɾ		l_o_b_l_ɔ_ɾ
8	0.8000	1.0000	e_s_t_o t_j_e_n_e b_a_ɾ_j_o_s b_a_l_ɔ_ɾ_ɛ_s		k_e_s_i_s_d_w_ɔ i_e_b_j_ɾ
9	0.7576	1.4000	t_j_e_n_e k_o_m_o k_e b_a_ɾ_j_a_s i_n_t_ɛ_n_s_i_ð_a_ð_e_s		ʝ_u_m_e ɡ_ɔ a_m ɛ_ɾ d_e a_o a_ɾ_s
10	0.5172	1.0000	i a_k_i s_o_l_o e_s_t_a_m_o_s t_ɾ_a_β_a_x_a_n_d_o		n_e_k_i_s_l_o_s  m_o_t_ɾ_o_a_β_a n_o
11	0.4000	1.0000	u_n_o i s_ɛ_ɾ_ɔ		m_u_n_o e_k_i_a_s_ɛ_ɾ_ɔ
12	0.5556	1.0000	p_ɾ_ɛ_n_d_i_ð_o o a_p_a_ɣ_a_ð_o		ɾ_ɛ_n_ɡ_ɾ_i_β_o a_β_a o
13	0.5200	1.0000	b_a_s a p_o_ð_ɛ_ɾ a_s_ɛ_ɾ l_o_s o_x_o_s		o_s_a p_w_ɛ_ɾ_o_s_e m_u_s_o_s_o_s
14	0.7500	1.2500	p_ɛ_ɾ_ɔ ʝ_a m_a_s a_j_j_a		b_e l_ɔ_n_ʝ_a b_o_a a_s b_ɾ_j_j
15	0.3333	1.0000	k_o_m_o a_s_e_s		u_n_o a_s_e_s 
16	0.7500	1.0000	s_ɛ_ɾ_ɔ p_u_n_t_o s_i_n_k_o		s_l_u_t_e u_s_ɛ_i_l_b_i_ɣ_o
17	0.6429	1.0000	s_ɛ_ɾ_ɔ p_u_n_t_o s_eɪ_s		o_o u_n_d_o_s e
18	0.4737	1.0000	e_s_t_o l_o p_w_e_ð_e_s a_s_ɛ_ɾ		e_s_t b_e p_w_e_s_e_s
19	0.7778	2.0000	s_o_l_a_m_ɛ_n_t_e		o_s ɔ_ɾ_ɔ_n_d_e
20	1.2000	3.0000	s_ɛ_ɾ_ɔ_s		s_e_β_ɔ ɛ a
21	1.2500	2.0000	e_s_t_a		i_s_ð_o ɔ
22	0.8333	2.0000	e_s_p_a_ð_a		o b_a
23	0.4000	1.0000	n_o s_e		o_s_e
24	1.0000	1.0000	o_j_j_e		k_a_n_a
25	0.5385	1.0000	n_o s_e k_e a_s_ɛ_ɾ		n_s_e_k_e ɾ_o_d_e
26	0.6667	1.0000	a_k_a		a_t_a_ɾ
27	0.7143	1.0000	p_ɛ_ɾ_ɔ e_s		d_e_s
