path,transcript,azure
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_001.wav,which ones were on,Which ones were on?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_004.wav,one one,11
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_007.wav,talking about timers,Talking about timers.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_010.wav,so now,So now.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_011.wav,can i touch it,Can I touch it?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_017.wav,bigger numbers,Pero un hombre.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_018.wav,it does work,It does.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_019.wav,seventy nine right,79
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_022.wav,because you wanna do it,Because you want to do.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_024.wav,does your sixty four,Is your 60?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_025.wav,all the way,All the way.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_033.wav,minus one,Minus one.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_036.wav,i dont know,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_038.wav,my mom and my dog,My mom and my dog.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_042.wav,shes nine,She's nice.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_055.wav,gonna group in fours,Going to group in four.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_058.wav,there you go,Te digo.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_059.wav,so whats that,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_062.wav,how did you do yours,How did you do yours?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_065.wav,so you did yours,So you did your.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_067.wav,each individual,Individual.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_069.wav,how about you guys explain,How about you guys explain?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_076.wav,what is he doing,What does he do?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_077.wav,sixteen minus six,¿Y si me dices?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_081.wav,sixty minus six,Estima en el sexo.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_083.wav,so complicated,So complicated.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_087.wav,he used that,He used that.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_090.wav,so now what i did,So now what I did?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_091.wav,i turned on the sixty four,I turn on the 64.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_093.wav,the thirty two,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_097.wav,it was three,Construir.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_101.wav,you got four right,We got 4.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_103.wav,okay ill go for you,Fue algo frío.
