,path,GT,spanish
0,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0001.wav,hay solamente,y solamente
1,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0002.wav,dos valores,los valores.
2,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0003.wav,cero,
3,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0004.wav,mejor,
4,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0005.wav,esta,
5,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0006.wav,a ver,
6,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0008.wav,ya pero a ver,"ya, pero"
7,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0009.wav,esto tiene varios valores,eso te lleva a los valores.
8,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0010.wav,tiene como que varias intensidades,tiene con qué bares? Felicidades.
9,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0011.wav,y aquí solo estamos trabajando,de tus Lo estamos trabajando.
10,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0012.wav,uno y cero,"Bueno, cero."
11,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0013.wav,prendido o apagado,Premio a pagar.
12,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0014.wav,vas a poder hacer los ojos,pasa? Puede hacer su
13,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0015.wav,pero ya mas allá,pero ella más allá.
14,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0016.wav,como haces,como haces.
15,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0017.wav,cero punto cinco,Pero por si
16,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0018.wav,cero punto seis,
17,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0020.wav,esto lo puedes hacer,Esto no puede ser.
18,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0022.wav,solamente,
19,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0023.wav,ceros,pero
20,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0024.wav,esta,
