path,GT,bilingual
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_025.flac,we need to get that,we need to get the
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_May06_Jhon_01-01_English_010.flac,before the program,before the program
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_020.flac,opening the files from the,opening the files from the
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Jose_01-01_English_002.flac,so those are the binary numbers,photos of the binary number
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_025.flac,okay that is right,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_022.flac,i need it too,I need it too
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_167.flac,answer an equation,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Mathew_01-01_English_020.flac,binary numbers,binary number
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_136.flac,what it is,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_03-05_English_031.flac,i dont know how but,I don't know how
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_003.flac,a grayscale pixel,grayscale pixel
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_04-05_English_008.flac,column five row five,column five row five
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_033.flac,let me know,let me know
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_04-05_English_005.flac,column two row three, black and white
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_03-05_English_038.flac,question,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_064.flac,so you have to represent in base ten all the numbers that we know using ten digits right,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_000.flac,so,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_067.flac,this value,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_150.flac,i have one question for you,I want Grandpa
